,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
160,1614326400000,put,ETH-26FEB21-1760-P,1760.0,2043.95,SYN.ETH-26FEB21,1613824387455,"{'volume': 691.0, 'price_change': -35.2941, 'low': 0.007, 'high': 0.0185}",open,0.01,2569.0,0.0001,0.043,0.008518,107.28,0.011,0.0,2027.26,"{'vega': 0.51724, 'theta': -4.77477, 'rho': -0.04196, 'gamma': 0.00072, 'delta': -0.12045}",2027.26,7743718303,"[[0.008, 304.0], [0.0075, 400.0], [0.007, 6.0], [0.0045, 1.0]]",105.2,0.008,304.0,0.0095,6.0,"[[0.0095, 6.0], [0.01, 5.0], [0.0115, 400.0], [0.065, 4.0], [0.44, 1.0], [0.75, 1.0]]",111.07
161,1613980800000,put,ETH-22FEB21-2160-P,2160.0,2032.54,SYN.ETH-22FEB21,1613824387454,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,,0.0,0.033,0.125,0.072827,111.28,,0.0,2027.26,"{'vega': 0.43528, 'theta': -13.37747, 'rho': -0.08491, 'gamma': 0.00191, 'delta': -0.76941}",2027.26,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0
162,1614931200000,call,ETH-5MAR21-2640-C,2640.0,2063.93,SYN.ETH-5MAR21,1613824387454,"{'volume': 1427.0, 'price_change': 61.9048, 'low': 0.009, 'high': 0.023}",open,0.02,2902.0,0.002,0.073,0.020996,127.23,0.017,0.0,2027.26,"{'vega': 1.0162, 'theta': -5.04615, 'rho': 0.11551, 'gamma': 0.00053, 'delta': 0.18045}",2027.26,7743723737,"[[0.0195, 10.0], [0.019, 320.0], [0.006, 1.0]]",124.15,0.0195,10.0,0.0225,5.0,"[[0.0225, 5.0], [0.023, 5.0], [0.0235, 320.0]]",130.25
163,1616745600000,put,ETH-26MAR21-300-P,300.0,2123.86,ETH-26MAR21,1613824387454,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,6594.0,0.0001,0.015,0.000217,232.73,0.001,0.0,2027.26,"{'vega': 0.02001, 'theta': -0.06887, 'rho': -0.00222, 'gamma': 0.0, 'delta': -0.00091}",2027.26,7741290590,[],0.0,0.0,0.0,0.0005,50.0,"[[0.0005, 50.0], [0.0015, 30.0], [0.035, 2.0], [0.1, 42.0]]",254.25
164,1616745600000,call,ETH-26MAR21-320-C,320.0,2123.86,ETH-26MAR21,1613824387452,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.85,2059.0,0.835,0.8645,0.849634,232.73,0.84,0.0,2027.26,"{'vega': 0.02647, 'theta': -0.09111, 'rho': 0.29339, 'gamma': 0.0, 'delta': 0.99876}",2027.26,7687796306,[],0.0,0.0,0.0,0.85,2.0,"[[0.85, 2.0]]",254.28
165,1615536000000,call,ETH-12MAR21-1440-C,1440.0,2083.9,SYN.ETH-12MAR21,1613824387459,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.31,0.0,0.2905,0.365,0.321067,126.15,,0.0,2027.26,"{'vega': 0.7223, 'theta': -2.29976, 'rho': 0.67733, 'gamma': 0.00024, 'delta': 0.91992}",2027.26,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0
166,1619769600000,put,ETH-30APR21-3520-P,3520.0,2171.67,SYN.ETH-30APR21,1613824387454,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.74,0.0,0.6095,0.8245,0.697921,130.46,,0.0,2027.26,"{'vega': 3.19873, 'theta': -3.03227, 'rho': -5.7865, 'gamma': 0.00028, 'delta': -0.71546}",2027.26,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0
167,1619769600000,put,ETH-30APR21-2080-P,2080.0,2171.67,SYN.ETH-30APR21,1613824387452,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.2,0.0,0.1155,0.281,0.18348,121.67,,0.0,2027.26,"{'vega': 3.54342, 'theta': -3.13261, 'rho': -2.24453, 'gamma': 0.00033, 'delta': -0.36476}",2027.26,7743723462,"[[0.181, 145.0], [0.18, 256.0], [0.131, 1.0]]",120.14,0.181,145.0,0.189,145.0,"[[0.189, 145.0], [0.1915, 256.0]]",125.05
168,1616745600000,put,ETH-26MAR21-460-P,460.0,2123.86,ETH-26MAR21,1613824387456,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,3275.0,0.0001,0.0155,0.00091,213.7,0.001,0.0,2027.26,"{'vega': 0.07162, 'theta': -0.22635, 'rho': -0.00909, 'gamma': 1e-05, 'delta': -0.00371}",2027.26,7743702928,"[[0.0005, 51.0]]",198.92,0.0005,51.0,0.0015,200.0,"[[0.0015, 200.0], [0.0025, 20.0], [0.003, 20.0], [0.01, 25.0]]",228.33
169,1615536000000,put,ETH-12MAR21-1680-P,1680.0,2083.9,SYN.ETH-12MAR21,1613824387454,"{'volume': 349.0, 'price_change': -20.7792, 'low': 0.0305, 'high': 0.041}",open,0.04,643.0,0.0065,0.08,0.030228,117.78,0.0305,0.0,2027.26,"{'vega': 1.26573, 'theta': -3.7626, 'rho': -0.2357, 'gamma': 0.00046, 'delta': -0.17817}",2027.26,7743723858,"[[0.0295, 295.0], [0.029, 320.0], [0.015, 1.0]]",116.57,0.0295,295.0,0.033,290.0,"[[0.033, 290.0], [0.034, 325.0]]",122.29
