,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
327,1619769600000,put,BTC-30APR21-20000-P,20000.0,60702.68,SYN.BTC-30APR21,1613824361040,"{'volume': 1.0, 'price_change': 0.0, 'low': 0.005, 'high': 0.005}",open,0.0,117.7,0.0001,0.0215,0.00415746,138.06,0.005,0.0,57128.18,"{'vega': 10.38306, 'theta': -10.41642, 'rho': -2.27306, 'gamma': 0.0, 'delta': -0.01571}",57128.18,27222729053,"[[0.0035, 5.0], [0.0025, 30.0], [0.002, 20.0], [0.0005, 2.5]]",134.02,0.0035,5.0,0.005,35.0,"[[0.005, 35.0], [0.0065, 21.0], [0.007, 0.3], [0.0095, 8.0], [0.01, 12.0]]",142.73
328,1640937600000,call,BTC-31DEC21-24000-C,24000.0,68140.34,SYN.BTC-31DEC21,1613824361036,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.66,71.7,0.649,0.7175,0.67575454,94.6,0.612,0.0,57128.18,"{'vega': 66.95977, 'theta': -10.09272, 'rho': 159.64512, 'gamma': 0.0, 'delta': 0.94826}",57128.18,27222642625,"[[0.6475, 5.0]]",0.0,0.6475,5.0,0.0,0.0,[],0.0
329,1614931200000,put,BTC-5MAR21-34000-P,34000.0,58218.48,BTC-5MAR21,1613824361041,"{'volume': 6.0, 'price_change': -28.5714, 'low': 0.0025, 'high': 0.0035}",open,0.0,339.0,0.0001,0.0225,0.00259531,153.42,0.0025,0.0,57128.18,"{'vega': 5.71445, 'theta': -34.21919, 'rho': -0.50161, 'gamma': 0.0, 'delta': -0.02195}",57128.18,27222728578,"[[0.002, 5.0], [0.0015, 31.2], [0.0005, 21.1]]",146.88,0.002,5.0,0.0035,31.0,"[[0.0035, 31.0], [0.0045, 25.0]]",161.84
330,1624608000000,put,BTC-25JUN21-18000-P,18000.0,62836.18,BTC-25JUN21,1613824361037,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.01,521.1,0.0001,0.0225,0.00505686,118.72,0.0075,0.0,57128.18,"{'vega': 14.59888, 'theta': -6.94338, 'rho': -4.49467, 'gamma': 0.0, 'delta': -0.01586}",57128.18,27222729010,"[[0.004, 10.0], [0.0035, 15.0], [0.001, 20.0], [0.0005, 0.1]]",113.86,0.004,10.0,0.0065,20.0,"[[0.0065, 20.0], [0.0075, 21.0], [0.0165, 5.0]]",124.5
331,1613894400000,put,BTC-21FEB21-49000-P,49000.0,57197.3,SYN.BTC-21FEB21,1613824361041,"{'volume': 49.5, 'price_change': -85.7143, 'low': 0.0005, 'high': 0.0035}",open,0.0,51.0,0.0001,0.015,8.127e-05,126.38,0.0005,0.0,57128.18,"{'vega': 0.34077, 'theta': -4.64831, 'rho': -0.00557, 'gamma': 0.0, 'delta': -0.0043}",57128.18,27222695346,[],0.0,0.0,0.0,0.0005,1.0,"[[0.0005, 1.0], [0.001, 1.8], [0.0015, 51.0], [0.002, 0.2], [0.004, 20.0], [0.0075, 20.0], [0.01, 5.0]]",159.29
332,1615536000000,call,BTC-12MAR21-42000-C,42000.0,58602.75,SYN.BTC-12MAR21,1613824362046,"{'volume': 6.0, 'price_change': 0.0, 'low': 0.281, 'high': 0.281}",open,0.27,6.0,0.264,0.3375,0.29487759,115.04,0.281,0.0,57127.42,"{'vega': 21.10725, 'theta': -61.2848, 'rho': 19.74706, 'gamma': 1e-05, 'delta': 0.91573}",57127.42,27222577068,"[[0.2655, 1.0]]",0.0,0.2655,1.0,0.0,0.0,[],0.0
333,1614931200000,call,BTC-5MAR21-56000-C,56000.0,58219.23,BTC-5MAR21,1613824362079,"{'volume': 28.9, 'price_change': 71.4286, 'low': 0.0525, 'high': 0.09}",open,0.08,725.1,0.0505,0.1505,0.0943101,100.69,0.09,0.0,57127.42,"{'vega': 41.59325, 'theta': -163.45531, 'rho': 10.70136, 'gamma': 3e-05, 'delta': 0.61804}",57127.42,27222749171,"[[0.0925, 19.9], [0.07, 9.0], [0.0405, 0.1], [0.036, 2.0]]",98.14,0.0925,19.9,0.097,19.9,"[[0.097, 19.9], [0.1005, 9.0]]",104.43
334,1616745600000,call,BTC-26MAR21-18000-C,18000.0,59369.78,BTC-26MAR21,1613824362043,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.69,714.6,0.683,0.7145,0.69796644,173.24,0.668,0.0,57127.42,"{'vega': 2.95907, 'theta': -7.58091, 'rho': 16.29411, 'gamma': 0.0, 'delta': 0.99425}",57127.42,27222545799,"[[0.6875, 13.0]]",0.0,0.6875,13.0,0.701,13.0,"[[0.701, 13.0]]",211.01
335,1615536000000,put,BTC-12MAR21-46000-P,46000.0,58602.75,SYN.BTC-12MAR21,1613824362050,"{'volume': 20.5, 'price_change': -33.8983, 'low': 0.0195, 'high': 0.0295}",open,0.02,16.7,0.003,0.06,0.01935555,107.04,0.0195,0.0,57127.42,"{'vega': 29.88453, 'theta': -80.73838, 'rho': -4.96075, 'gamma': 1e-05, 'delta': -0.13661}",57127.42,27222747769,"[[0.018, 55.2], [0.0155, 16.0], [0.011, 0.1]]",104.36,0.018,55.2,0.02,1.0,"[[0.02, 1.0], [0.0205, 54.2], [0.033, 16.0]]",108.3
336,1614931200000,put,BTC-5MAR21-28000-P,28000.0,58219.23,BTC-5MAR21,1613824362043,"{'volume': 5.0, 'price_change': -33.3333, 'low': 0.001, 'high': 0.0015}",open,0.0,359.4,0.0001,0.016,0.00105273,176.2,0.001,0.0,57127.42,"{'vega': 2.5464, 'theta': -17.5124, 'rho': -0.19714, 'gamma': 0.0, 'delta': -0.0086}",57127.42,27222728552,"[[0.0005, 47.1]]",160.26,0.0005,47.1,0.002,31.0,"[[0.002, 31.0], [0.0055, 21.0], [0.006, 10.0], [0.035, 0.2], [0.06, 0.1], [0.08, 0.1], [0.13, 0.1]]",193.49
